ticker,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,price_to_sales,debt_to_equity,return_on_equity,return_on_assets,profit_margin,operating_margin,revenue_growth,earnings_growth,current_ratio,quick_ratio,free_cashflow,operating_cashflow,last_updated
AAPL,3438001258496,3454421434368,35.15402,27.877855,,52.282776,8.413407,154.486,1.49814,0.24545999,0.24295999,0.29990998,0.096,0.121,0.868,0.724,94873747456,108564996096,2025-08-13T17:04:55.447021
MSFT,3943259439104,3951547908096,38.8641,35.484615,,11.481582,13.996889,32.661,0.33280998,0.14203,0.36146,0.44901,0.181,0.237,1.353,1.223,61070376960,136162000896,2025-08-13T17:04:55.474565
GOOGL,2451894697984,2405713838080,21.597652,22.585938,,6.749491,6.6014543,11.481,0.34829,0.16792,0.31118,0.32429,0.138,0.223,1.904,1.72,49786499072,133707997184,2025-08-13T17:04:55.686496
TSLA,1112589336576,1076471988224,206.55138,106.46321,,14.38392,11.999599,16.823,0.08177,0.02911,0.063439995,0.04103,-0.118,-0.175,2.037,1.359,1339624960,15765000192,2025-08-13T17:04:57.146785
AMZN,2384557244416,2428348137472,34.083733,36.355984,,7.1409183,3.5588386,47.808,0.2477,0.07699,0.105399996,0.11432,0.133,0.333,1.024,0.768,31024001024,121136996352,2025-08-13T17:04:57.426837
META,1979831943168,1987080749056,28.585627,31.150425,,10.164909,11.072638,25.406,0.40647998,0.18465,0.39992002,0.43019,0.216,0.384,1.973,1.706,31991250944,102299000832,2025-08-13T17:04:57.621166
NVDA,4438299770880,4425697984512,58.706455,44.172333,,52.93485,29.884523,12.267,1.15463,0.53244996,0.51694,0.49108002,0.692,0.267,3.388,2.857,55443001344,76158001152,2025-08-13T17:04:58.696263
AMD,298651254784,281935511552,110.86145,36.084312,,5.0028543,10.089022,6.513,0.04699,0.0219,0.095740005,-0.01275,0.317,2.336,2.491,1.174,2332999936,4877000192,2025-08-13T17:04:59.070948
INTC,94127382528,132881367040,,22.170101,,0.96163297,1.7736458,47.997,-0.18616,-0.00853,-0.38636002,-0.03803,0.002,,1.24,0.674,-8320625152,10081999872,2025-08-13T17:04:59.781457
QCOM,166975258624,170651664384,14.937259,12.653312,,6.165093,3.8600748,54.35,0.44615,0.14174,0.26766002,0.26647,0.103,0.294,3.194,1.721,5465999872,12663000064,2025-08-13T17:05:00.497480
